surface_m2,nb_pieces,age_annees,distance_centre_km,price
50.6,2.0,74.8,20.04,79017.0
98.1,4.0,32.0,,262901.0
67.0,3.0,53.6,2.61,201717.0
48.8,1.0,,,135218.0
61.2,3.0,99.8,10.11,133683.0
58.2,3.0,84.2,,151169.0
44.6,2.0,,3.21,123679.0
58.6,3.0,20.9,16.37,137503.0
58.9,4.0,16.1,23.6,141835.0
161.6,7.0,,2.9,479627.0
53.1,3.0,82.8,,88967.0
189.8,9.0,70.0,27.56,493633.0
141.3,7.0,54.0,22.66,373483.0
59.4,,,27.37,109005.0
80.5,3.0,34.5,13.21,221832.0
70.4,4.0,99.5,12.78,167461.0
119.9,6.0,,21.13,287851.0
53.8,2.0,53.3,5.08,153364.0
72.0,4.0,57.8,22.83,148763.0
65.3,3.0,,2.75,232154.0
68.8,3.0,45.1,6.81,195588.0
31.7,3.0,,,8000.0
59.7,,58.0,1.97,177477.0
135.7,6.0,27.3,28.73,338054.0
50.4,2.0,13.5,1.28,190993.0
89.8,3.0,,23.31,223030.0
90.9,3.0,77.3,20.21,199304.0
105.2,5.0,,,285206.0
61.6,3.0,49.0,13.59,143023.0
45.0,2.0,29.4,,72025.0
74.6,3.0,24.8,3.2,226846.0
56.3,2.0,49.8,1.38,169160.0
54.1,3.0,79.8,24.91,72265.0
78.3,3.0,6.1,6.37,219845.0
133.1,7.0,15.6,11.3,403797.0
68.6,4.0,11.4,21.96,136009.0
76.3,3.0,43.4,0.56,219697.0
235.0,11.0,28.0,,678401.0
80.1,4.0,,11.65,229258.0
73.9,4.0,16.4,9.06,226039.0
96.1,5.0,21.3,21.99,275489.0
76.5,5.0,16.7,,204627.0
71.8,,13.5,3.1,219327.0
130.9,6.0,,12.63,358457.0
67.7,2.0,59.8,24.98,142277.0
52.3,2.0,96.9,12.01,109772.0
62.2,4.0,39.5,,139973.0
162.5,7.0,,15.36,459752.0
54.8,2.0,76.0,25.14,65641.0
120.7,5.0,5.6,26.96,309081.0
148.7,,,,433774.0
39.2,2.0,59.2,,63730.0
78.3,4.0,25.0,8.28,234937.0
32.4,3.0,73.7,28.67,8000.0
83.7,4.0,94.2,16.98,174077.0
45.2,1.0,,24.77,45434.0
73.7,3.0,88.0,7.55,195825.0
51.0,2.0,20.7,10.05,131080.0
137.2,7.0,16.8,10.14,411610.0
116.7,5.0,4.6,27.04,281469.0
32.8,1.0,15.9,5.59,91370.0
57.0,3.0,89.9,9.18,140509.0
75.9,3.0,91.9,,145611.0
132.6,5.0,38.8,24.8,339954.0
59.9,,49.8,29.62,93466.0
45.0,1.0,75.1,28.76,55314.0
77.6,3.0,83.3,1.75,227590.0
43.5,2.0,70.7,29.67,29494.0
87.1,4.0,20.5,8.45,245519.0
74.4,4.0,42.1,21.62,183930.0
28.4,1.0,28.6,25.02,9314.0
102.7,4.0,95.4,,223620.0
34.9,2.0,,7.88,91226.0
44.2,,79.0,29.99,38280.0
71.5,3.0,87.3,4.63,171247.0
45.7,2.0,,16.98,79149.0
34.9,1.0,,27.53,8000.0
107.6,5.0,96.9,22.0,247064.0
83.2,4.0,50.4,25.89,184308.0
96.8,4.0,10.2,14.63,271127.0
32.4,2.0,25.8,12.02,80379.0
112.2,5.0,74.5,,320210.0
69.6,4.0,3.4,24.71,148426.0
85.9,4.0,88.3,15.52,189258.0
71.8,4.0,20.6,14.97,179362.0
95.8,5.0,62.2,26.79,211274.0
55.9,3.0,78.1,24.31,109159.0
34.2,,87.2,27.35,24245.0
96.6,4.0,93.4,21.84,199876.0
106.5,5.0,74.3,27.21,226953.0
57.7,3.0,17.8,17.94,151285.0
65.5,3.0,1.2,7.55,187913.0
71.4,3.0,91.6,3.44,199459.0
118.9,5.0,7.9,12.0,360715.0
67.8,3.0,73.7,8.18,165238.0
36.5,2.0,18.1,0.02,106766.0
51.9,3.0,46.8,22.14,97773.0
80.5,3.0,23.4,28.89,167826.0
49.5,3.0,83.8,4.4,145569.0
37.2,2.0,70.5,,91310.0
36.3,2.0,45.2,,73964.0
73.3,4.0,38.3,,196165.0
69.5,3.0,60.0,22.48,153167.0
71.7,4.0,4.3,15.01,194667.0
38.6,2.0,65.1,5.98,84618.0
74.8,4.0,97.5,22.18,135413.0
71.0,3.0,91.4,21.25,157403.0
47.5,2.0,95.7,28.19,24775.0
157.8,6.0,55.4,20.43,418141.0
62.5,4.0,69.1,23.52,101672.0
97.8,5.0,4.4,18.79,259916.0
49.6,2.0,49.2,14.74,96818.0
70.6,3.0,5.1,14.03,202535.0
148.8,6.0,,25.5,346806.0
51.9,2.0,35.6,9.63,129466.0
56.8,3.0,5.7,8.74,169891.0
93.4,5.0,58.1,1.12,266638.0
137.6,7.0,44.1,20.05,361537.0
41.4,3.0,58.1,7.8,119192.0
147.6,6.0,50.6,27.32,373747.0
130.3,6.0,23.7,11.98,380047.0
39.3,2.0,70.2,19.5,56629.0
53.5,1.0,12.4,4.4,170202.0
48.0,3.0,29.9,,153541.0
167.9,8.0,9.4,1.01,542580.0
49.4,3.0,,,94150.0
63.9,3.0,43.1,15.4,143505.0
68.7,2.0,,5.26,189165.0
49.5,2.0,47.6,,113898.0
65.2,2.0,63.1,15.54,145771.0
15.6,1.0,48.3,,8000.0
135.3,6.0,16.8,,340620.0
109.1,6.0,,20.04,291705.0
64.6,3.0,51.3,11.51,171160.0
81.8,2.0,,23.95,175877.0
52.9,3.0,,11.13,130892.0
70.2,4.0,80.4,,137950.0
69.8,3.0,77.3,13.82,165006.0
52.1,2.0,40.7,,148120.0
64.2,,,20.02,161265.0
40.3,2.0,24.5,13.17,102553.0
41.9,1.0,47.3,16.9,79751.0
46.0,3.0,81.6,13.49,89296.0
76.4,3.0,,22.12,148464.0
104.2,6.0,99.4,29.48,217410.0
43.2,,78.6,23.87,37125.0
129.5,,,,326394.0
86.8,4.0,71.8,21.4,186149.0
61.1,3.0,18.2,26.89,99516.0
71.1,4.0,24.0,,233675.0
57.1,2.0,,22.62,117904.0
79.7,5.0,99.4,10.08,211546.0
39.0,1.0,,12.95,63484.0
78.5,3.0,34.3,4.18,219014.0
68.1,3.0,21.1,16.57,158225.0
74.6,4.0,12.2,,162739.0
61.9,3.0,72.6,4.02,181285.0
57.5,2.0,24.2,22.39,115831.0
54.5,3.0,76.2,10.54,139455.0
65.1,1.0,56.9,6.63,13794.0
38.4,2.0,23.4,5.53,98722.0
195.3,8.0,,26.14,532384.0
134.2,5.0,23.9,5.81,393909.0
85.5,3.0,90.7,,244003.0
151.1,7.0,,,372759.0
86.0,4.0,63.5,22.11,203295.0
48.1,2.0,23.2,3.2,148947.0
100.1,5.0,20.2,26.35,226069.0
49.2,2.0,26.1,15.47,126214.0
123.8,6.0,94.7,15.2,315051.0
60.2,4.0,,,139872.0
250.7,11.0,53.9,27.08,682206.0
52.3,2.0,79.4,11.42,116375.0
62.2,,49.0,9.03,162479.0
144.5,8.0,8.5,13.0,425778.0
34.5,1.0,38.1,,59124.0
134.3,6.0,26.3,,373056.0
95.5,5.0,44.9,,282249.0
59.4,3.0,11.4,7.01,168998.0
184.7,9.0,62.0,26.33,473216.0
41.2,3.0,55.9,0.24,86924.0
111.5,,67.6,6.74,283353.0
36.1,1.0,,,76386.0
,3.0,95.9,3.55,232243.0
55.1,2.0,18.5,8.41,146833.0
115.9,6.0,42.3,,289265.0
39.4,1.0,60.7,5.04,78806.0
97.0,4.0,16.2,1.0,293596.0
91.1,3.0,58.6,7.63,245593.0
64.4,3.0,53.0,,163104.0
75.0,3.0,39.0,16.57,180640.0
67.5,3.0,99.2,4.49,178914.0
76.0,3.0,70.9,25.88,161958.0
95.8,6.0,16.3,9.21,289671.0
104.2,4.0,63.2,,278257.0
55.7,3.0,17.2,7.35,178975.0
149.0,7.0,71.4,25.66,378284.0
31.7,,57.4,6.98,59085.0
57.1,3.0,38.1,26.02,101453.0
45.5,2.0,12.6,7.36,138539.0
94.8,5.0,70.3,28.52,208315.0
80.0,4.0,7.3,3.82,255152.0
51.4,3.0,30.0,,144651.0
105.6,,54.4,,310046.0
206.7,10.0,,29.55,549901.0
46.5,2.0,97.2,,83789.0
54.1,3.0,49.6,23.19,123008.0
32.1,2.0,24.2,20.51,37768.0
39.8,1.0,95.5,21.82,50988.0
98.9,6.0,28.9,21.56,260744.0
40.0,1.0,75.0,17.03,57809.0
54.7,4.0,61.4,9.94,125196.0
62.5,2.0,60.7,11.74,158439.0
49.2,2.0,8.0,,106637.0
90.1,4.0,,,268056.0
140.7,6.0,,12.32,355286.0
135.6,7.0,,18.29,339771.0
48.0,2.0,91.7,25.97,37775.0
53.2,2.0,38.4,,91608.0
118.9,5.0,69.6,,303769.0
171.5,8.0,96.4,5.35,493885.0
70.1,3.0,7.7,1.93,226951.0
53.8,2.0,95.9,19.68,70573.0
120.5,5.0,50.7,12.29,329729.0
59.7,3.0,6.4,,114893.0
96.7,4.0,32.9,9.86,265117.0
55.1,3.0,93.5,,69423.0
54.7,2.0,71.6,29.39,64919.0
31.8,2.0,26.7,11.02,65675.0
41.3,2.0,,,104622.0
72.7,3.0,69.7,27.55,136809.0
83.3,4.0,49.3,29.65,172498.0
109.8,4.0,47.2,,266634.0
125.6,,75.2,,312174.0
59.2,3.0,12.7,,166138.0
62.2,3.0,91.4,12.65,139194.0
109.5,4.0,11.5,5.1,314898.0
66.2,4.0,,20.32,148832.0
43.1,2.0,3.9,3.78,131941.0
108.2,,39.1,8.8,309492.0
87.2,4.0,0.5,20.58,228859.0
70.5,2.0,11.2,23.99,156942.0
120.7,6.0,55.2,,349265.0
40.2,,36.5,,108724.0
81.3,4.0,76.3,20.68,192242.0
66.3,4.0,0.6,13.38,168232.0
45.6,2.0,23.9,4.05,142219.0
83.9,4.0,52.0,,174763.0
73.8,3.0,,,186483.0
29.3,,90.8,27.4,8000.0
68.5,5.0,41.4,,163340.0
69.5,3.0,,25.37,100381.0
88.0,4.0,,9.48,225432.0
80.3,3.0,79.7,29.22,152060.0
253.8,,88.8,28.33,679159.0
77.2,3.0,25.1,19.49,221767.0
69.6,5.0,89.9,0.16,191222.0
42.5,2.0,90.9,25.66,38175.0
59.0,3.0,49.5,,111133.0
52.5,2.0,19.2,1.37,148927.0
23.8,2.0,20.4,11.47,48109.0
61.2,3.0,84.0,22.32,102495.0
79.8,,28.9,6.73,1493532.0
56.1,3.0,47.2,23.61,124071.0
94.9,,89.2,25.31,213682.0
44.3,2.0,,,88790.0
113.2,6.0,66.9,,323254.0
29.3,1.0,27.6,10.16,71288.0
39.5,2.0,,17.48,98253.0
110.7,5.0,56.8,25.87,273659.0
56.8,2.0,9.9,24.05,108195.0
176.5,9.0,27.1,,539477.0
63.9,3.0,32.2,,204960.0
18.4,1.0,,17.27,29706.0
75.5,2.0,,13.16,185367.0
87.6,5.0,40.8,,254887.0
59.5,3.0,7.5,3.32,205984.0
101.8,4.0,6.4,,307356.0
93.6,4.0,49.5,,266930.0
41.2,3.0,69.0,,96502.0
34.6,1.0,42.1,2.69,97225.0
60.0,3.0,53.0,23.65,114952.0
43.3,3.0,46.8,19.12,93855.0
55.5,2.0,47.6,,119919.0
36.3,1.0,32.6,22.79,48819.0
91.3,,10.9,,216752.0
156.4,7.0,51.9,,452330.0
128.5,6.0,62.3,,361057.0
49.6,3.0,13.2,5.23,148745.0
75.3,3.0,69.6,,197215.0
102.1,5.0,23.9,26.73,245401.0
83.5,4.0,81.6,,156188.0
73.6,4.0,,24.07,165857.0
49.3,3.0,,,68837.0
41.8,3.0,,2.1,125894.0
159.6,7.0,37.3,2.59,477330.0
85.9,3.0,27.9,22.91,187929.0
105.7,5.0,21.6,,293335.0
78.7,,58.7,19.4,177439.0
150.4,6.0,69.1,6.6,421061.0
42.7,2.0,73.0,,73310.0
29.8,1.0,28.7,5.21,74760.0
90.5,3.0,13.9,26.23,193617.0
94.5,5.0,17.4,,314172.0
77.3,4.0,,15.9,220079.0
60.3,4.0,77.7,15.68,137907.0
50.0,3.0,1.6,15.35,133187.0
125.5,5.0,14.9,24.37,334532.0
38.4,,94.0,18.25,61275.0
53.1,3.0,46.9,4.12,169691.0
30.0,2.0,69.0,19.74,45943.0
30.6,1.0,62.4,12.85,51737.0
99.9,4.0,,,278000.0
213.3,10.0,20.1,29.79,583103.0
55.1,2.0,,19.88,100989.0
45.8,2.0,13.3,24.71,88406.0
43.4,2.0,97.1,9.59,98570.0
125.1,,24.6,7.58,382496.0
109.3,5.0,,13.99,316411.0
110.1,5.0,87.0,,235309.0
86.1,5.0,,28.07,192972.0
,3.0,96.9,10.99,132267.0
63.7,3.0,5.0,16.72,165373.0
98.1,5.0,,25.71,230112.0
93.5,5.0,1.8,28.7,224793.0
62.8,3.0,84.4,26.42,128661.0
121.3,5.0,77.5,5.02,335505.0
70.3,2.0,2.3,27.8,152383.0
53.5,4.0,95.6,28.95,59318.0
99.0,5.0,16.7,23.32,223297.0
74.0,3.0,,6.7,192345.0
90.6,4.0,,18.76,224945.0
33.7,1.0,59.0,17.45,36955.0
57.2,3.0,1.4,6.85,173353.0
79.0,3.0,36.9,21.4,192488.0
30.5,2.0,7.4,19.7,62451.0
27.0,1.0,3.9,20.21,32921.0
39.8,2.0,36.4,,87211.0
39.7,3.0,79.6,4.66,95547.0
52.9,3.0,60.8,24.51,107826.0
70.1,4.0,,20.32,146140.0
62.3,3.0,,15.02,133071.0
62.0,3.0,35.3,14.63,130454.0
30.4,2.0,94.6,11.09,40312.0
40.5,2.0,92.3,25.36,8000.0
43.5,2.0,11.5,21.44,74510.0
47.3,2.0,67.4,8.96,118152.0
102.2,4.0,86.2,22.2,234611.0
59.6,2.0,53.6,12.1,163344.0
71.0,2.0,73.6,28.51,137068.0
65.5,3.0,58.0,,174649.0
121.8,6.0,1.7,,331975.0
24.4,1.0,97.1,4.46,45718.0
55.6,2.0,37.6,,149703.0
105.3,5.0,90.9,15.0,251448.0
91.9,5.0,9.7,17.64,244451.0
70.4,4.0,19.0,12.08,190106.0
49.8,3.0,4.4,,106693.0
98.2,5.0,52.8,,200466.0
64.5,3.0,19.8,0.81,204226.0
125.9,6.0,29.1,,335163.0
94.3,4.0,43.8,13.76,259135.0
52.7,3.0,,23.27,116512.0
58.9,,31.0,,106710.0
49.7,2.0,53.1,4.93,150622.0
55.0,2.0,26.8,8.17,140531.0
89.0,4.0,85.3,18.0,213931.0
71.4,3.0,,,155265.0
49.0,2.0,,19.65,100610.0
102.3,5.0,,24.85,245599.0
55.5,2.0,47.2,26.92,92845.0
97.1,4.0,69.5,21.26,240448.0
70.7,3.0,78.2,3.47,191834.0
110.8,5.0,,3.77,342721.0
87.8,4.0,43.3,24.98,206419.0
24.7,1.0,59.5,22.99,8000.0
174.4,7.0,11.2,,499746.0
79.3,,54.5,0.13,234991.0
61.7,3.0,36.9,8.55,175581.0
64.4,2.0,25.3,15.58,169855.0
,5.0,94.4,,376342.0
52.6,2.0,53.1,13.59,115553.0
153.2,8.0,,0.48,469738.0
71.8,3.0,70.4,28.92,113652.0
85.7,4.0,,10.01,217057.0
30.2,2.0,64.9,,76201.0
57.5,2.0,86.8,25.0,84942.0
94.3,4.0,65.2,12.36,258323.0
73.5,3.0,10.1,,157457.0
27.8,1.0,11.5,16.82,38831.0
81.2,5.0,75.5,,242640.0
146.1,6.0,71.6,12.34,382695.0
41.9,1.0,39.1,,118043.0
86.8,3.0,,,256023.0
54.0,3.0,22.5,24.48,107893.0
55.7,3.0,,4.22,157336.0
39.4,2.0,83.6,,81340.0
48.5,2.0,0.2,20.2,104688.0
171.8,7.0,36.6,5.56,524725.0
55.3,2.0,,6.6,157931.0
77.6,3.0,43.4,8.06,200537.0
104.3,4.0,77.6,,268077.0
30.4,1.0,21.8,,34931.0
41.4,2.0,0.4,6.9,120450.0
,2.0,44.4,1.92,144594.0
28.0,1.0,53.0,6.18,55957.0
133.2,6.0,11.1,28.63,338698.0
56.0,1.0,4.9,5.42,157731.0
68.9,4.0,48.0,10.6,171346.0
74.0,4.0,84.2,0.59,210472.0
36.8,2.0,95.6,,47471.0
116.9,4.0,35.9,18.29,292615.0
82.3,3.0,52.8,12.7,207132.0
45.9,1.0,69.4,5.37,105449.0
75.4,3.0,,,184341.0
208.3,9.0,92.5,14.85,566997.0
73.9,3.0,70.7,16.44,175335.0
68.5,3.0,40.7,11.39,187030.0
53.8,2.0,74.4,2.97,140697.0
75.1,3.0,41.2,2.06,208934.0
123.8,7.0,91.6,6.76,348974.0
119.0,6.0,77.3,19.66,297931.0
71.8,3.0,40.7,25.63,146448.0
59.9,2.0,88.5,29.9,71690.0
41.7,2.0,,2.31,102483.0
71.5,3.0,71.0,13.15,169576.0
51.1,2.0,38.0,,128556.0
189.9,9.0,48.9,6.35,567877.0
37.4,2.0,34.1,11.68,73255.0
39.0,2.0,10.3,1.09,134583.0
71.1,4.0,88.1,22.32,135718.0
90.2,4.0,76.1,4.5,265278.0
70.6,4.0,2.0,12.82,196044.0
59.0,3.0,66.2,16.96,131448.0
40.6,,99.5,3.6,77643.0
50.0,3.0,91.9,28.37,35306.0
173.6,6.0,28.8,2.65,522042.0
149.4,6.0,,2.39,450506.0
115.1,5.0,7.7,11.58,354774.0
77.9,5.0,40.4,9.37,233327.0
81.8,4.0,18.4,12.44,230091.0
38.3,1.0,72.1,16.03,63339.0
77.8,3.0,46.5,7.67,211678.0
49.7,3.0,31.4,10.47,144872.0
211.8,10.0,22.6,7.04,640566.0
51.2,2.0,96.3,18.29,92191.0
30.5,,80.5,24.38,8000.0
60.9,3.0,,6.07,188293.0
95.7,4.0,,,217067.0
60.7,3.0,11.9,26.77,119997.0
233.0,11.0,,,675553.0
58.2,3.0,90.9,,105473.0
183.7,,80.1,,500424.0
65.3,3.0,70.4,19.35,107977.0
50.6,3.0,29.7,,133444.0
68.3,2.0,50.6,,139011.0
87.0,4.0,14.5,14.3,228178.0
85.0,5.0,44.9,2.48,278618.0
82.3,3.0,99.9,,231127.0
57.4,2.0,80.5,,152984.0
84.9,4.0,6.8,5.15,22257.0
92.2,4.0,58.0,3.08,263012.0
182.4,9.0,42.3,24.42,502642.0
44.0,2.0,,4.69,128401.0
70.2,4.0,59.2,10.96,206802.0
75.2,5.0,36.3,16.37,204523.0
44.6,2.0,93.7,13.14,90272.0
54.8,3.0,55.3,5.95,152253.0
54.7,2.0,69.3,13.08,110054.0
51.8,2.0,33.4,,82352.0
128.6,6.0,72.7,21.06,323975.0
52.4,2.0,58.4,,103314.0
131.2,7.0,54.7,7.42,398939.0
42.5,,,11.19,119969.0
61.7,2.0,62.5,3.29,188664.0
121.3,5.0,,2.56,361856.0
212.7,9.0,65.5,,568637.0
114.0,5.0,74.6,27.28,254103.0
64.8,4.0,72.6,26.93,105301.0
54.5,3.0,81.6,,145962.0
59.2,3.0,18.0,,157498.0
44.3,,18.9,13.74,103163.0
77.8,,28.2,16.54,211171.0
63.7,,,2.22,178523.0
45.0,2.0,87.8,9.23,88226.0
59.3,3.0,45.8,3.21,161893.0
67.1,,69.9,,134412.0
70.7,2.0,54.0,29.51,114924.0
43.9,1.0,,22.58,57047.0
73.7,3.0,,19.04,154951.0
33.7,2.0,21.8,2.58,118312.0
108.7,5.0,,29.24,247918.0
82.1,4.0,86.6,28.47,161407.0
86.8,5.0,,25.8,226140.0
100.1,,85.9,11.7,248569.0
54.2,3.0,,,120530.0
39.0,,74.8,19.44,75535.0
31.9,1.0,45.5,,97672.0
97.1,4.0,,,295822.0
57.5,2.0,71.8,,90193.0
138.1,7.0,1.6,0.2,447503.0
41.2,,86.3,15.63,65806.0
97.1,5.0,55.7,28.42,223583.0
117.6,6.0,17.6,23.1,316878.0
51.0,3.0,,1.02,148902.0
48.5,1.0,84.9,,65890.0
40.8,1.0,,9.89,95896.0
59.2,3.0,87.5,15.66,112903.0
98.4,6.0,87.5,4.05,289479.0
85.6,5.0,14.0,16.94,231580.0
57.1,2.0,,8.95,140323.0
117.5,5.0,26.3,0.05,372904.0
49.2,2.0,31.5,25.73,78989.0
84.6,4.0,,4.91,263767.0
