surface_m2,nb_pieces,age_annees,distance_centre_km,price
153.7,7.0,,3.48,509567.0
35.5,2.0,18.7,12.9,106816.0
91.3,4.0,7.7,3.99,354059.0
59.4,2.0,,23.21,155196.0
28.2,1.0,86.1,29.77,8000.0
56.7,4.0,90.5,,174763.0
72.2,3.0,4.7,,237393.0
69.6,3.0,47.9,,237345.0
57.9,,57.5,,129433.0
62.5,3.0,25.9,,218579.0
89.9,4.0,,10.4,265652.0
35.9,1.0,69.3,,88155.0
72.5,,68.5,23.27,175961.0
129.8,6.0,29.9,25.82,388895.0
36.4,1.0,77.8,17.37,65224.0
65.7,3.0,85.5,19.0,155328.0
47.6,2.0,9.5,2.66,193514.0
143.5,6.0,47.5,6.61,477680.0
104.5,5.0,87.7,,357769.0
71.1,2.0,87.3,,167412.0
67.2,2.0,,0.74,246097.0
58.0,3.0,95.1,15.95,157830.0
,2.0,0.9,24.56,130861.0
108.1,4.0,34.5,25.84,281889.0
75.3,3.0,55.0,9.74,228243.0
63.0,2.0,85.5,24.47,120908.0
95.1,5.0,95.2,12.88,272247.0
37.5,2.0,10.7,29.53,67667.0
162.3,8.0,66.1,,519250.0
57.9,2.0,69.0,6.38,170597.0
34.6,2.0,4.7,6.73,121108.0
90.9,4.0,30.3,9.14,301746.0
61.8,3.0,,12.85,214750.0
113.3,5.0,16.7,9.83,364256.0
55.1,3.0,45.7,5.39,189575.0
75.7,,50.1,2.56,255819.0
73.7,3.0,29.4,16.87,237088.0
42.1,2.0,,2.81,159914.0
50.0,3.0,14.5,5.0,178222.0
103.2,5.0,14.2,23.58,321789.0
73.5,3.0,24.2,16.95,233106.0
204.1,9.0,22.3,,584764.0
62.7,3.0,70.4,18.3,183111.0
79.9,3.0,27.6,,222991.0
126.7,,55.7,29.98,332813.0
143.8,7.0,,19.96,419615.0
40.5,2.0,92.5,10.32,113294.0
101.1,4.0,25.5,14.42,311591.0
44.1,2.0,54.8,15.09,119748.0
52.9,2.0,20.1,17.41,136670.0
69.7,2.0,84.2,11.3,207503.0
96.9,5.0,94.0,12.6,279571.0
66.1,3.0,12.1,26.3,202839.0
78.9,4.0,48.0,4.95,279921.0
59.8,3.0,22.8,6.27,219845.0
53.0,3.0,22.1,,197738.0
51.1,1.0,71.9,19.86,110105.0
34.3,2.0,89.9,7.76,76823.0
86.4,4.0,71.5,,258763.0
,3.0,83.7,12.8,218775.0
32.3,,98.9,,31784.0
93.8,5.0,99.6,,277409.0
103.2,5.0,94.2,2.73,351647.0
88.4,5.0,,29.38,227968.0
63.3,3.0,30.7,21.76,171955.0
128.6,6.0,48.6,7.08,396826.0
45.2,2.0,81.4,21.35,110637.0
76.7,3.0,99.5,23.86,183207.0
68.0,3.0,27.8,,206233.0
68.3,3.0,53.8,21.27,188448.0
69.4,4.0,33.5,0.38,265480.0
62.2,3.0,50.1,20.15,190564.0
95.3,5.0,58.0,23.99,267208.0
50.5,3.0,56.6,7.41,189511.0
148.9,7.0,,,453441.0
68.7,4.0,80.7,27.78,174792.0
72.8,,19.9,23.49,199456.0
89.1,3.0,89.4,,283843.0
47.4,2.0,96.6,29.84,69964.0
53.6,,56.5,,162296.0
74.6,,19.5,,222484.0
57.4,3.0,37.6,,163012.0
40.2,2.0,72.0,9.85,105458.0
34.0,1.0,7.7,,133389.0
130.5,6.0,,26.74,398468.0
68.1,4.0,4.9,19.4,229400.0
90.5,3.0,52.3,3.18,311402.0
112.0,6.0,21.2,12.58,363815.0
50.9,2.0,95.6,1.48,182341.0
93.9,4.0,,0.33,333681.0
34.2,2.0,39.8,,110426.0
61.5,4.0,51.0,27.93,157645.0
,4.0,34.5,15.62,216569.0
96.1,4.0,86.1,6.33,306918.0
120.1,6.0,99.6,0.57,404771.0
41.4,3.0,2.9,,175124.0
79.0,,16.3,0.23,289917.0
97.1,,86.3,6.58,316875.0
26.7,,,16.01,50973.0
64.3,3.0,62.2,,148224.0
103.5,5.0,53.7,22.55,299077.0
85.2,4.0,71.4,29.36,208624.0
38.5,2.0,75.5,28.96,72273.0
37.1,3.0,91.3,23.07,54727.0
90.8,5.0,70.6,19.15,250190.0
118.6,5.0,36.3,14.42,378592.0
99.9,5.0,13.9,2.64,348047.0
41.0,1.0,42.9,8.59,122662.0
47.0,2.0,30.6,21.3,117037.0
98.0,4.0,23.9,,299331.0
58.1,2.0,93.5,,135970.0
59.1,3.0,29.9,8.18,214810.0
86.3,4.0,90.3,,291774.0
,4.0,82.5,25.2,177616.0
41.1,2.0,99.7,4.48,123144.0
98.5,,62.5,10.82,311286.0
74.3,4.0,,,190737.0
108.0,6.0,58.3,28.9,281885.0
48.0,3.0,,,134080.0
40.4,4.0,34.7,22.3,95245.0
31.5,2.0,15.7,,111817.0
48.4,,28.6,19.4,106471.0
24.9,1.0,84.0,,31800.0
50.5,2.0,62.9,1.9,180826.0
135.1,7.0,72.2,,428289.0
21.3,,,13.49,64081.0
41.0,2.0,0.6,,120988.0
,5.0,32.5,29.84,284051.0
32.9,1.0,19.4,27.54,32069.0
87.6,4.0,34.0,29.34,218733.0
44.9,2.0,45.9,26.18,85726.0
47.3,2.0,22.6,12.96,144522.0
69.3,3.0,54.3,15.1,214447.0
70.5,3.0,44.8,15.59,225462.0
75.8,3.0,81.8,,211045.0
92.7,5.0,23.7,3.43,333089.0
41.2,2.0,13.9,8.99,157993.0
97.5,5.0,96.4,3.91,304257.0
56.5,3.0,42.2,14.71,166753.0
54.1,3.0,16.9,2.09,212514.0
81.4,4.0,15.5,17.79,251502.0
88.8,4.0,70.4,13.72,266256.0
133.6,6.0,,,400038.0
81.3,5.0,,,276514.0
67.4,4.0,0.9,4.96,246292.0
87.0,4.0,90.8,11.85,257131.0
56.3,3.0,48.3,22.3,134139.0
33.7,1.0,7.3,,26859.0
55.5,3.0,12.5,1.78,227547.0
51.4,3.0,,16.09,148651.0
66.4,,66.2,18.74,194061.0
42.4,1.0,91.6,,44898.0
57.1,2.0,4.4,18.33,159490.0
197.7,8.0,78.3,21.8,540261.0
44.8,2.0,,,119350.0
169.9,9.0,94.0,0.09,557596.0
91.1,5.0,81.0,7.9,285771.0
95.9,4.0,67.7,14.48,290247.0
37.1,2.0,69.0,,114573.0
60.5,2.0,22.8,0.62,240902.0
83.0,4.0,,1.29,308044.0
37.5,2.0,39.5,11.98,102759.0
110.9,6.0,29.8,,339163.0
55.2,3.0,,28.24,94519.0
124.1,6.0,61.0,19.2,377308.0
47.5,2.0,54.2,9.52,156379.0
85.7,3.0,76.9,,291011.0
36.8,3.0,,28.11,36123.0
62.0,3.0,1.2,6.07,221462.0
56.7,2.0,26.7,1.96,214266.0
68.2,3.0,56.0,9.24,199144.0
104.6,4.0,50.6,,331811.0
73.0,3.0,23.4,6.85,266015.0
106.4,5.0,60.8,18.73,303438.0
57.5,3.0,70.9,2.56,199219.0
52.8,1.0,99.9,,102107.0
42.6,1.0,80.2,2.24,138321.0
108.6,4.0,95.0,0.25,365068.0
60.0,2.0,91.3,22.03,138035.0
56.2,,93.0,,140402.0
32.0,1.0,41.6,,34992.0
111.4,6.0,69.0,22.93,321636.0
83.0,4.0,24.2,19.59,248636.0
65.4,2.0,30.8,11.01,221913.0
83.1,,53.2,19.33,244312.0
54.7,3.0,45.9,,174010.0
52.7,4.0,3.7,,206636.0
70.4,4.0,9.7,21.29,199730.0
96.8,3.0,71.2,,277417.0
60.1,2.0,56.5,5.46,201482.0
60.8,4.0,4.6,26.88,159036.0
87.8,5.0,83.2,18.74,243873.0
54.5,2.0,78.6,8.19,166564.0
43.6,1.0,16.3,,134778.0
54.3,4.0,83.4,,121604.0
78.4,,55.2,,285900.0
45.8,2.0,46.7,1.95,140908.0
84.5,3.0,,16.2,232953.0
24.0,1.0,13.2,0.64,112178.0
122.2,5.0,,21.76,349489.0
163.3,8.0,53.0,9.31,512650.0
38.3,1.0,86.2,,67304.0
31.9,1.0,23.0,12.54,98100.0
92.2,5.0,32.5,22.06,267037.0
121.5,6.0,76.4,6.23,384932.0
92.2,6.0,44.8,17.48,299116.0
79.6,4.0,89.5,1.76,267201.0
74.7,3.0,1.6,7.3,284582.0
66.6,3.0,17.0,23.57,191936.0
187.9,9.0,61.1,19.77,540881.0
104.0,4.0,0.5,14.5,331747.0
68.8,3.0,55.9,0.3,238262.0
117.7,5.0,8.6,2.85,437130.0
89.4,,50.3,25.04,232634.0
61.1,3.0,33.3,19.86,196173.0
61.7,3.0,62.8,,210113.0
98.7,5.0,25.3,9.68,334822.0
49.3,2.0,94.0,,113873.0
114.6,5.0,93.6,0.9,360039.0
23.8,1.0,41.5,12.77,61342.0
120.4,5.0,,18.03,344654.0
92.6,4.0,51.1,22.45,303544.0
57.9,3.0,90.8,21.69,137599.0
42.6,2.0,44.2,24.58,89160.0
146.4,7.0,12.2,20.39,440952.0
125.5,7.0,37.2,12.7,399106.0
29.4,1.0,10.8,29.61,40958.0
32.0,1.0,49.8,13.98,51250.0
84.6,4.0,,12.52,268147.0
39.9,2.0,98.7,7.89,114049.0
33.5,1.0,58.0,22.71,64656.0
58.7,2.0,76.5,24.38,147729.0
51.5,2.0,23.1,,177189.0
135.3,6.0,,19.89,405659.0
123.5,6.0,47.9,24.68,351985.0
68.1,3.0,,23.27,176100.0
54.9,3.0,,,211207.0
142.4,6.0,56.8,8.16,446823.0
48.6,2.0,49.2,9.47,147453.0
40.7,2.0,30.4,10.54,135365.0
55.7,2.0,60.4,,192794.0
79.3,3.0,35.3,5.13,248870.0
71.4,3.0,12.5,24.28,198517.0
90.5,4.0,47.8,25.35,221963.0
56.4,3.0,21.5,14.85,181082.0
56.4,3.0,80.5,15.92,153079.0
64.2,4.0,16.8,,201728.0
35.8,1.0,88.9,4.59,97185.0
120.9,5.0,96.2,11.65,368094.0
57.8,3.0,,,156155.0
68.9,1.0,,26.04,159938.0
44.7,3.0,70.6,,93426.0
49.7,,67.4,16.56,125867.0
732.9,6.0,44.7,29.81,344445.0
137.7,6.0,68.0,25.64,398610.0
105.6,6.0,93.0,27.2,292830.0
56.9,3.0,57.4,3.31,214044.0
84.4,4.0,51.8,23.32,232080.0
183.2,9.0,,24.29,530349.0
,3.0,,1.3,241661.0
75.2,,38.0,13.85,231679.0
104.4,5.0,46.7,,319918.0
58.8,4.0,48.5,11.29,184518.0
52.0,2.0,,14.2,136779.0
74.9,3.0,11.9,25.82,231704.0
86.3,5.0,26.9,29.22,244631.0
61.9,3.0,60.5,,173809.0
77.6,4.0,74.7,12.41,234410.0
70.7,3.0,0.9,10.8,254004.0
42.2,2.0,40.6,24.35,104761.0
60.6,3.0,52.1,,220273.0
126.4,6.0,25.9,16.2,402728.0
37.5,1.0,58.9,0.28,142139.0
51.8,,13.8,3.15,191777.0
55.2,2.0,,,154492.0
141.0,7.0,22.0,10.35,464251.0
33.6,2.0,27.8,10.78,123148.0
49.7,2.0,30.3,10.39,174478.0
51.5,1.0,50.7,,165513.0
80.1,4.0,,,221244.0
,4.0,26.4,9.4,304312.0
93.1,5.0,69.1,18.34,287481.0
137.1,6.0,,19.39,425834.0
47.1,3.0,89.6,27.57,98500.0
57.9,3.0,70.3,,149542.0
69.2,4.0,61.2,1.61,260634.0
56.2,2.0,86.1,10.39,156840.0
155.5,7.0,55.0,3.42,514821.0
103.6,5.0,72.2,16.72,321104.0
63.7,2.0,45.7,,141043.0
54.7,2.0,,13.25,163256.0
53.3,2.0,8.2,24.26,145722.0
71.6,3.0,48.6,,190136.0
57.8,3.0,,,146023.0
127.6,,38.8,7.25,423821.0
131.3,6.0,,,390970.0
94.7,4.0,55.6,23.88,273753.0
79.7,3.0,50.9,8.85,248053.0
65.3,3.0,87.8,1.95,223233.0
36.1,2.0,41.1,,89604.0
114.1,3.0,29.0,17.17,336623.0
47.9,2.0,44.2,3.01,169360.0
84.5,3.0,63.7,,244341.0
63.5,3.0,91.3,,134339.0
118.6,5.0,75.8,,365189.0
104.7,5.0,25.5,,309947.0
58.9,3.0,32.6,21.19,165226.0
57.1,1.0,61.0,,86271.0
81.4,2.0,8.1,,288070.0
71.5,3.0,0.8,29.74,194353.0
56.5,2.0,,8.34,186534.0
46.2,2.0,68.2,17.98,122781.0
73.3,4.0,,13.25,224914.0
49.8,3.0,83.3,28.65,116166.0
125.5,6.0,32.7,5.41,431426.0
34.4,1.0,93.1,7.08,95606.0
69.9,4.0,61.5,7.73,220548.0
39.6,2.0,0.3,1.78,174288.0
68.5,2.0,7.5,29.71,171469.0
134.9,6.0,79.5,,420432.0
46.9,2.0,4.3,5.27,185845.0
85.6,3.0,51.2,,269091.0
20.4,1.0,96.6,,8957.0
161.2,8.0,,27.08,457179.0
238.8,11.0,99.6,,674388.0
28.1,2.0,93.3,,11237.0
34.6,2.0,75.4,,61926.0
59.1,3.0,47.8,25.3,10985.0
59.1,2.0,17.3,20.47,163618.0
79.7,3.0,23.6,1.93,291978.0
59.3,4.0,51.8,12.1,195688.0
65.1,3.0,18.5,4.5,234185.0
58.4,2.0,,9.72,169703.0
52.6,2.0,29.8,26.75,122848.0
52.6,2.0,9.7,26.77,134392.0
74.6,3.0,89.8,7.44,234538.0
43.7,,,4.51,163302.0
42.4,2.0,25.1,25.95,110770.0
77.9,3.0,42.5,11.69,271036.0
50.8,2.0,70.4,,89362.0
33.4,,,27.27,17433.0
211.0,9.0,,,659822.0
83.8,4.0,97.3,0.88,271465.0
47.5,2.0,34.5,,151092.0
40.4,,82.1,5.7,128221.0
5.6,4.0,67.1,6.95,312433.0
41.9,2.0,20.1,21.94,107453.0
42.3,2.0,25.5,4.32,158653.0
97.3,6.0,47.5,4.76,334890.0
56.3,3.0,97.2,15.83,124391.0
88.9,5.0,12.5,26.08,275015.0
80.2,,71.8,,288143.0
50.3,3.0,87.9,,170286.0
35.8,1.0,28.6,,73278.0
112.0,,64.7,25.02,329629.0
69.9,3.0,12.5,24.52,205119.0
117.6,6.0,12.0,16.48,382631.0
86.1,4.0,71.0,10.37,260032.0
56.8,3.0,21.6,5.51,198470.0
95.8,4.0,53.3,12.52,285221.0
118.9,7.0,14.0,7.8,387096.0
73.5,4.0,57.6,20.5,201629.0
62.2,3.0,55.9,2.62,190139.0
58.0,3.0,9.7,28.49,150450.0
83.6,5.0,99.7,2.78,283994.0
93.5,5.0,23.4,2.81,346891.0
95.6,4.0,2.0,4.5,356091.0
77.7,4.0,0.5,,237018.0
74.4,3.0,97.9,22.57,204313.0
70.8,4.0,24.4,,201260.0
124.8,6.0,70.3,18.49,363948.0
,3.0,60.0,16.18,159316.0
105.7,4.0,68.6,7.11,336965.0
87.8,4.0,74.1,0.87,304746.0
37.0,2.0,50.8,17.1,102691.0
83.9,3.0,35.8,10.91,277195.0
66.0,4.0,10.9,9.09,245126.0
128.3,5.0,,,372233.0
28.3,1.0,61.0,8.16,89146.0
109.2,5.0,35.9,4.93,360674.0
95.3,5.0,22.4,,315534.0
121.4,6.0,1.0,26.82,363538.0
23.3,1.0,79.2,13.04,51902.0
56.0,2.0,16.1,0.99,190533.0
130.8,6.0,21.4,11.21,419886.0
85.6,4.0,85.6,19.94,200376.0
124.0,6.0,47.9,20.57,378187.0
108.6,5.0,,16.44,366231.0
65.0,3.0,87.9,9.72,186223.0
94.2,4.0,19.1,,278948.0
53.2,2.0,75.7,23.34,93288.0
73.3,3.0,5.8,25.22,209585.0
70.5,4.0,,,188747.0
59.4,4.0,83.9,3.22,206059.0
41.4,2.0,84.8,27.27,52276.0
89.8,5.0,15.7,3.99,326563.0
94.7,4.0,62.2,,233183.0
77.7,3.0,86.7,3.4,253324.0
301.5,12.0,,12.65,847928.0
61.6,2.0,39.4,23.07,174301.0
95.7,4.0,22.9,24.83,266959.0
66.1,,56.0,23.5,173647.0
55.3,,,,117479.0
40.5,2.0,9.4,3.45,163057.0
70.3,2.0,89.2,0.23,261172.0
89.1,5.0,17.9,,246049.0
38.3,2.0,,26.74,54086.0
111.3,6.0,88.2,,324324.0
130.4,,,27.74,395939.0
,7.0,,14.03,499777.0
32.4,1.0,,21.7,8865.0
33.8,2.0,10.0,,93529.0
52.9,2.0,37.5,25.94,121482.0
52.1,2.0,86.4,0.19,185750.0
,7.0,85.8,17.1,435762.0
123.1,,3.3,6.4,438620.0
90.4,3.0,6.5,,306409.0
70.7,3.0,42.2,7.52,248589.0
75.5,3.0,18.3,11.72,270320.0
45.4,3.0,10.8,15.78,136966.0
73.2,4.0,40.0,,241127.0
86.6,4.0,97.3,26.54,212469.0
55.3,2.0,21.2,,176019.0
79.1,4.0,83.2,,205284.0
108.5,4.0,1.7,,347697.0
135.1,5.0,33.9,28.41,363758.0
68.5,,42.1,2.19,254027.0
41.7,2.0,17.1,14.07,124723.0
106.3,,34.2,23.88,303048.0
68.7,4.0,56.3,6.99,234973.0
62.9,2.0,92.2,26.32,111271.0
85.6,5.0,41.5,29.96,230675.0
46.8,3.0,12.2,,117660.0
69.7,4.0,87.6,,185503.0
67.8,2.0,,22.36,181993.0
48.3,2.0,50.6,27.39,78530.0
101.8,5.0,37.7,5.61,348292.0
54.1,3.0,,22.14,135731.0
62.1,2.0,46.7,0.13,233757.0
59.9,2.0,57.8,12.66,205177.0
77.7,2.0,30.0,9.89,254392.0
28.3,1.0,26.0,11.24,80187.0
41.7,2.0,62.0,,112656.0
38.6,2.0,39.3,3.77,137376.0
85.9,3.0,69.9,4.42,278525.0
51.5,3.0,68.9,28.88,95418.0
55.4,3.0,70.9,0.94,204299.0
52.6,2.0,,2.32,171489.0
56.3,3.0,94.4,2.27,170772.0
58.6,3.0,87.9,,125237.0
83.9,4.0,33.1,28.08,219239.0
57.4,3.0,17.4,29.25,154659.0
55.9,2.0,,5.12,191747.0
56.6,3.0,99.7,4.17,182679.0
211.7,9.0,66.6,24.33,599979.0
97.3,4.0,83.4,,298702.0
61.3,3.0,31.3,,125401.0
65.6,4.0,14.5,11.84,210688.0
201.7,10.0,75.3,4.51,621656.0
46.5,3.0,75.6,10.92,126426.0
97.9,4.0,9.0,16.12,308442.0
89.1,4.0,83.8,26.19,225370.0
86.8,4.0,31.9,0.99,307201.0
42.9,3.0,,20.09,94023.0
42.5,2.0,12.2,26.76,93261.0
70.3,3.0,69.5,14.99,203261.0
132.8,6.0,14.4,,385148.0
75.1,3.0,77.2,26.54,164872.0
33.6,2.0,13.9,25.72,74906.0
121.2,6.0,,,409820.0
74.3,2.0,28.1,25.36,208540.0
143.8,6.0,59.7,27.71,407815.0
55.7,2.0,72.9,,206731.0
59.3,3.0,39.1,17.66,168890.0
39.8,2.0,4.3,,148015.0
69.7,3.0,83.3,24.85,170962.0
40.2,2.0,35.0,18.25,101922.0
93.2,5.0,,25.61,254125.0
29.0,1.0,87.5,,38701.0
131.6,5.0,77.8,23.07,365844.0
51.0,2.0,76.8,5.79,183453.0
68.9,4.0,,,245720.0
70.3,3.0,82.3,19.07,184508.0
49.4,2.0,89.5,,73045.0
,4.0,,3.64,277445.0
44.3,,85.9,3.74,145614.0
61.7,3.0,,3.83,231465.0
33.8,2.0,65.2,,65262.0
54.2,3.0,56.2,23.33,144975.0
42.5,3.0,6.1,28.88,101746.0
57.4,,,,108244.0
59.8,3.0,76.8,24.61,142879.0
77.7,3.0,,,240699.0
31.3,2.0,,,97580.0
123.9,,,6.45,396959.0
,4.0,,,276891.0
88.4,3.0,89.4,29.73,201876.0
152.0,7.0,30.1,8.93,501260.0
132.1,6.0,79.7,25.96,376262.0
86.0,4.0,81.9,0.44,312901.0
81.5,5.0,,8.81,291111.0
159.1,8.0,40.5,24.59,462544.0
88.2,4.0,59.8,17.64,229820.0
80.1,4.0,8.9,,258472.0
50.6,2.0,96.4,2.42,159726.0
146.4,6.0,54.7,18.59,431080.0
108.3,5.0,48.3,21.7,332127.0
73.3,3.0,,8.95,231343.0
87.2,3.0,42.8,,225931.0
72.3,,87.8,,263888.0
60.8,1.0,77.8,17.07,125572.0
53.3,,91.4,24.64,103116.0
52.9,2.0,92.0,13.11,124111.0
67.9,,45.0,11.15,200661.0
88.4,2.0,21.0,26.65,241896.0
103.5,5.0,40.0,,336494.0
97.3,,19.8,,303583.0
79.7,4.0,67.4,24.01,208194.0
56.4,3.0,62.2,10.72,173360.0
25.3,1.0,27.8,1.38,98491.0
63.2,3.0,,11.9,202077.0
36.7,1.0,48.0,,88993.0
86.5,4.0,71.4,,266380.0
43.9,1.0,99.2,17.75,92577.0
35.5,2.0,61.8,,132909.0
38.4,2.0,,,97044.0
109.0,4.0,91.2,,299100.0
53.7,2.0,10.7,19.38,152393.0
69.4,3.0,25.3,1.55,266200.0
59.5,3.0,48.6,14.8,175418.0
76.4,4.0,14.6,5.83,267225.0
42.5,1.0,25.4,13.76,128008.0
83.4,3.0,,1.8,298236.0
63.7,2.0,14.5,9.67,221538.0
713.1,,61.9,14.66,316808.0
27.6,1.0,12.3,18.93,55677.0
69.9,,41.9,10.46,225058.0
41.0,2.0,58.0,4.31,133739.0
20.3,1.0,66.3,6.43,47569.0
30.0,2.0,14.4,,105237.0
43.3,1.0,,8.96,154444.0
66.5,4.0,70.0,,200971.0
70.5,4.0,46.0,27.05,193481.0
50.3,,83.9,18.33,145532.0
97.0,4.0,54.8,12.28,307022.0
105.8,5.0,62.6,,266666.0
91.0,4.0,43.7,20.85,258527.0
53.5,,,27.68,97947.0
88.9,4.0,,3.0,325009.0
94.7,5.0,64.2,,257327.0
65.5,3.0,,17.08,177827.0
44.4,,78.5,28.36,77062.0
68.5,3.0,11.4,2.97,260737.0
51.6,2.0,60.7,16.0,136486.0
70.1,3.0,31.4,23.84,200778.0
32.3,,90.8,18.25,30350.0
80.4,5.0,52.8,25.99,200923.0
24.8,1.0,45.6,23.64,13097.0
57.5,2.0,,17.79,139837.0
59.2,3.0,30.8,1.46,253138.0
104.5,,77.0,0.86,396576.0
56.7,1.0,77.1,17.41,137454.0
51.4,2.0,31.6,,161695.0
89.4,4.0,81.7,2.94,328049.0
,4.0,,2.07,273777.0
86.9,5.0,83.1,21.41,247776.0
95.6,5.0,41.6,23.71,260432.0
75.5,4.0,41.6,14.52,218293.0
75.4,3.0,,19.45,214900.0
46.5,3.0,34.9,23.31,112054.0
99.2,5.0,60.2,8.09,317232.0
60.2,3.0,26.3,,156237.0
40.3,2.0,4.4,,93370.0
128.4,,86.7,3.57,417747.0
46.5,2.0,96.8,27.83,90635.0
37.6,2.0,71.0,25.39,62635.0
82.2,,46.6,3.49,271108.0
170.8,8.0,0.5,3.52,562647.0
55.8,3.0,,,194607.0
34.7,2.0,56.2,16.85,69917.0
77.8,4.0,34.9,25.45,195615.0
160.0,9.0,35.7,16.84,498004.0
29.0,1.0,67.9,24.97,31084.0
77.9,,61.6,,232429.0
41.8,1.0,15.6,,83805.0
132.9,6.0,,,463826.0
102.2,5.0,96.3,18.39,275482.0
86.9,4.0,38.9,13.68,290878.0
43.2,2.0,,0.18,168680.0
94.8,5.0,43.5,14.22,316013.0
92.6,4.0,,23.64,261301.0
121.7,5.0,28.0,19.88,400153.0
73.0,,77.7,9.3,235511.0
120.5,,,,334663.0
55.1,3.0,67.8,2.98,191158.0
66.9,4.0,18.5,16.48,204135.0
29.7,2.0,1.7,2.04,104102.0
61.3,3.0,42.1,14.12,175776.0
57.1,3.0,38.3,3.58,215292.0
111.4,5.0,67.9,21.62,314759.0
96.4,4.0,52.8,,279767.0
47.9,2.0,8.2,1.88,191178.0
38.1,1.0,93.6,,86801.0
50.1,2.0,54.9,28.78,74921.0
,6.0,,25.49,369577.0
55.9,3.0,50.7,16.87,178347.0
60.9,3.0,73.6,22.49,139447.0
37.9,1.0,,17.59,102738.0
101.0,5.0,68.2,17.88,303081.0
94.1,4.0,34.9,24.15,270242.0
63.4,3.0,,14.41,203022.0
108.4,6.0,63.5,,337548.0
64.0,3.0,10.5,8.19,213356.0
152.0,,4.7,,523281.0
35.3,1.0,37.3,16.79,96262.0
73.7,4.0,18.9,24.75,206252.0
84.1,4.0,95.8,13.11,238399.0
172.7,7.0,68.6,27.16,480675.0
68.9,4.0,,10.29,232703.0
74.4,3.0,,12.06,238210.0
137.3,7.0,,6.92,470139.0
73.4,3.0,,8.78,247896.0
84.8,3.0,37.5,2.77,310336.0
52.2,3.0,,25.07,108919.0
93.6,4.0,27.3,21.59,292093.0
93.8,4.0,35.2,,299992.0
66.8,2.0,84.2,21.86,139761.0
50.5,3.0,,21.51,127341.0
50.7,2.0,98.9,20.09,108615.0
81.3,4.0,40.5,,239598.0
57.3,4.0,,6.06,215386.0
112.5,5.0,40.1,18.64,337957.0
70.8,3.0,35.2,26.58,191126.0
83.9,4.0,76.0,12.38,239102.0
110.0,5.0,49.8,21.01,336111.0
52.1,2.0,26.3,11.96,145483.0
53.9,2.0,32.3,1.84,189735.0
46.6,2.0,64.6,,163960.0
29.5,1.0,,17.96,61488.0
193.6,9.0,37.7,18.0,603704.0
88.1,4.0,32.2,2.49,314929.0
76.6,4.0,21.8,16.55,243986.0
65.7,,73.4,28.11,132930.0
65.5,3.0,69.5,29.24,185265.0
133.2,6.0,74.7,11.27,408823.0
60.5,,70.8,28.73,147898.0
48.6,2.0,66.0,28.2,72577.0
46.6,,58.2,,118608.0
